bondlength	fci0	energy0	error0	fci1	energy1	error1
1.25	-455.1508929886628	-455.1508325558815	6.043278131073748e-05	-454.65610715474713	-454.6560844672198	2.2687527348352887e-05
1.28	-455.1543974542102	-455.1543387403985	5.871381171118628e-05	-454.68569538865614	-454.6856737991745	2.1589481661976606e-05
1.31	-455.1563837291332	-455.1563268248302	5.6904302994098543e-05	-454.7128226706373	-454.71280195681607	2.071382124313459e-05
1.3399999999999999	-455.1570637972492	-455.1570087748838	5.5022365359036485e-05	-454.73770096971225	-454.73768152912686	1.9440585390384513e-05
1.37	-455.1566244802826	-455.1565713882607	5.309202185799222e-05	-454.7605222750787	-454.7605038611443	1.84139344128198e-05
1.4	-455.1552304604255	-455.1551793269631	5.113346242069383e-05	-454.7814607478454	-454.7814433438795	1.7403965898665774e-05
1.43	-455.15302694749835	-455.152977778104	4.916939434451706e-05	-454.80067461222757	-454.8006581736178	1.643860974809286e-05
1.46	-455.1501420304729	-455.1500948273136	4.7203159340369893e-05	-454.8183078167234	-454.81829225640314	1.556032026428511e-05
1.49	-455.1466887486101	-455.1466434985733	4.5250036748711864e-05	-454.8344914939535	-454.83447685499175	1.4638961772561743e-05
1.52	-455.14276691343446	-455.1427235970917	4.331634278287311e-05	-454.84934524530115	-454.8493314415836	1.380371753612053e-05
1.55	-455.13846470909994	-455.1384232813511	4.142774884030587e-05	-454.8629782737245	-454.8629652440837	1.3029640797412867e-05
1.58	-455.1338600954252	-455.13382053241554	3.9563009636367497e-05	-454.875490385359	-454.8754781023454	1.2283013575142832e-05
1.6099999999999999	-455.1290220348854	-455.1289842805546	3.775433077635171e-05	-454.8869728778498	-454.8869612994385	1.1578411317714199e-05
1.64	-455.12401156229777	-455.123975575205	3.598709275820511e-05	-454.8975093309587	-454.8974984060211	1.0924937612344365e-05
1.67	-455.1188827137236	-455.11884844383286	3.42698907616068e-05	-454.90717631271747	-454.90716600064786	1.0312069605333818e-05
1.7	-455.1136833293003	-455.11365072946506	3.259983520820242e-05	-454.9160440124229	-454.91603427609147	9.736331435306056e-06
1.73	-455.10845574329045	-455.10842475300416	3.0990286290943914e-05	-454.92417680998307	-454.9241676103152	9.199667886150564e-06
1.76	-455.1032373735504	-455.1032079383289	2.9435221506446396e-05	-454.93163378958127	-454.9316250575835	8.731997752420284e-06
1.79	-455.0980612218197	-455.09803329241015	2.792940955487211e-05	-454.93846920431105	-454.9384609535581	8.250752955518692e-06
1.8199999999999998	-455.0929562956988	-455.0929298153551	2.648034370622554e-05	-454.94473289731945	-454.9447250902761	7.807043346019782e-06
1.8499999999999999	-455.0879479627732	-455.0879228739528	2.5088820450491767e-05	-454.95047068408365	-454.950463184877	7.499206674310699e-06
1.88	-455.08305824708464	-455.08303449713605	2.3749948582008074e-05	-454.95572469972467	-454.95571761286294	7.086861728566873e-06
1.91	-455.07830607783734	-455.0782836156651	2.246217223955682e-05	-454.9605337146768	-454.9605270345387	6.680138085357612e-06
1.94	-455.07370749994743	-455.0736862718439	2.122810354876492e-05	-454.9649334215798	-454.96492705874044	6.362839371831797e-06
1.97	-455.0692758555641	-455.0692558105134	2.0045050689532218e-05	-454.9689566959333	-454.96895048227503	6.213658252818277e-06
