bondlength	fci0	energy0	error0	fci1	energy1	error1	fci2	energy2	error2
1.0	-7.784460280030998	-7.782242401701876	0.0022178783291213477	-7.658932360994421	-7.658342741779541	0.0005896192148799884	-7.644498842903164	-7.642926111789856	0.0015727311133080235
1.012	-7.790309456077191	-7.788130251450603	0.0021792046265876053	-7.6640540167064	-7.663474338001516	0.000579678704884401	-7.649632153572815	-7.648088507805217	0.0015436457675983561
1.024	-7.795885678679193	-7.793743627053472	0.0021420516257206756	-7.668957167198794	-7.66838634195857	0.0005708252402243374	-7.654543963352523	-7.653027391844482	0.0015165715080414088
1.036	-7.801200004933042	-7.799093658468281	0.002106346464761266	-7.67365170782117	-7.673088623306524	0.0005630845146464836	-7.659244179203837	-7.657752800725887	0.0014913784779500006
1.048	-7.806263017534459	-7.804190997558673	0.002072019975785544	-7.678147054433699	-7.67759065233248	0.0005564021012194331	-7.6637422324516145	-7.66227427170974	0.0014679607418743856
1.06	-7.811084842885956	-7.809045835635907	0.0020390072500484635	-7.68245216504441	-7.681901463954908	0.0005507010895016151	-7.6680470995389545	-7.6666008850593395	0.0014462144796150156
1.072	-7.8156751689679025	-7.813667922412885	0.0020072465550171614	-7.686575560853957	-7.686029635660257	0.0005459251937001142	-7.672167322291693	-7.670741279979841	0.0014260423118521715
1.084	-7.82004326294726	-7.818066583761089	0.0019766791861703936	-7.690525346685885	-7.689983326622534	0.0005420200633512451	-7.676111027664626	-7.674703658424915	0.001407369239711187
1.096	-7.824197988493355	-7.822250739314543	0.0019472491788112833	-7.694309230782814	-7.693770297270564	0.0005389335122494288	-7.679885946942239	-7.678495868142372	0.0013900787998668562
1.108	-7.8281478227677646	-7.826228919764455	0.0019189030033093246	-7.697934543951661	-7.697397899677858	0.0005366442738026223	-7.683499434370082	-7.682125393872793	0.0013740404972892861
1.12	-7.831900873054961	-7.830009283323935	0.0018915897310254337	-7.701408258044147	-7.700873090139386	0.0005351679047604918	-7.686958485196024	-7.6855992288433885	0.0013592563526358958
1.1320000000000001	-7.835464893001237	-7.833599632714737	0.0018652602865003587	-7.704737003763089	-7.70420291719834	0.000534086564749181	-7.690269753104017	-7.68892413529894	0.0013456178050770262
1.1440000000000001	-7.838847298431655	-7.837007430744492	0.0018398676871624886	-7.707927087788007	-7.707393304541956	0.0005337832460510228	-7.6934395670278315	-7.692106489284677	0.0013330777431548313
1.156	-7.842055182717991	-7.840239815896243	0.0018153668217477659	-7.710984509218309	-7.710450448808385	0.0005340604099242086	-7.696473947335954	-7.695152435102652	0.0013215122333019025
1.168	-7.845095331673964	-7.8433036173293	0.0017917143446632977	-7.713914975335294	-7.713380098832366	0.00053487650292805	-7.699378621383243	-7.698067847899695	0.0013107734835475782
1.18	-7.847974237958092	-7.846205369372002	0.0017688685860903774	-7.7167239166881485	-7.716187733758065	0.0005361829300838394	-7.702159038428403	-7.700858082362442	0.001300956065960257
1.192	-7.850698114968674	-7.848951325492657	0.001746789476016808	-7.719416501511514	-7.7188785559172475	0.0005379455942664535	-7.704820383920248	-7.703528460605289	0.001291923314958865
1.204	-7.853272910219342	-7.851547471739809	0.0017254384795331035	-7.72199764948572	-7.721457526814001	0.00054012267171899	-7.707367593158748	-7.706083977247557	0.0012836159111913048
1.216	-7.8557043181881205	-7.853999539433888	0.0017047787542328052	-7.724472044852556	-7.723929365935095	0.0005426789174611812	-7.709805364340028	-7.708529390417712	0.0012759739223158206
1.228	-7.85799779263578	-7.85631301836626	0.001684774269520517	-7.726844148901913	-7.726298580179921	0.0005455687219919625	-7.712138170996093	-7.710869229995072	0.0012689410010215951
1.24	-7.8601585583940965	-7.858493167420234	0.001665390973862202	-7.729118211845711	-7.728569447966861	0.000548763878850167	-7.714370273843305	-7.713107754777897	0.0012625190654080853
1.252	-7.862191622626687	-7.860545026606887	0.0016465960198006613	-7.731298284097587	-7.730746055448413	0.0005522286491741468	-7.7165057320543635	-7.7152492519226055	0.0012564801317580532
1.264	-7.864101785568764	-7.862473427648949	0.0016283579198148601	-7.7333882269773575	-7.7328322954289	0.0005559315484573446	-7.7185484139703	-7.717297455142683	0.0012509588276170547
1.276	-7.865893650754319	-7.864283004492832	0.001610646261486437	-7.735391722859842	-7.734831885028634	0.0005598378312079433	-7.720502007270176	-7.719256178829492	0.0012458284406839937
1.288	-7.867571634741916	-7.8659782025209495	0.0015934322209663065	-7.7373122847891995	-7.736748370768138	0.0005639140210611515	-7.722370028616915	-7.721128962576492	0.0012410660404231777
1.3	-7.869139976351873	-7.867563288333336	0.0015766880185363874	-7.739153265579102	-7.738585126346876	0.0005681392322260947	-7.72415583279817	-7.722919212858595	0.0012366199395748012
1.312	-7.87060274542908	-7.869042358278632	0.0015603871504481504	-7.740917866419782	-7.740345355564431	0.0005725108553509273	-7.725862621381772	-7.724630170389566	0.0012324509922061466
1.324	-7.87196385114723	-7.870419346831616	0.001544504315614148	-7.7426091450131995	-7.742032227424392	0.0005769175888072908	-7.727493450904975	-7.726264929263685	0.001228521641289504
1.336	-7.873227049871397	-7.871698034478333	0.001529015393063382	-7.744230023256789	-7.743648601615431	0.0005814216413586593	-7.7290512406175536	-7.727826444742138	0.0012247958754159072
1.348	-7.874395952596222	-7.872882055177265	0.001513897418957022	-7.745783294496922	-7.745197324947684	0.0005859695492382855	-7.730538779797982	-7.729317536050607	0.0012212437473753113
1.3599999999999999	-7.8754740319778325	-7.873974903414456	0.0014991285633767504	-7.747271630372049	-7.7466810951665215	0.0005905352055277646	-7.731958734662193	-7.7307407853184795	0.0012179493437134425
1.3719999999999999	-7.876464628977782	-7.874979940871132	0.001484688106650367	-7.748697587265626	-7.748102471383722	0.0005951158819046398	-7.733313654883947	-7.732099134204758	0.001214520679188702
1.384	-7.877370959137375	-7.875900402722301	0.0014705564150734318	-7.750063612388214	-7.749463953866335	0.0005996585218790429	-7.7346059797454885	-7.73339469105336	0.0012112886921284982
1.396	-7.878196118500978	-7.8767394035854625	0.0014567149155153558	-7.751372049507869	-7.750767875554659	0.0006041739532101076	-7.735838043936757	-7.73462992524162	0.0012081186951364842
1.408	-7.878943089206247	-7.877499943139137	0.00144314606711049	-7.752625144347006	-7.75201650533028	0.0006086390167254763	-7.737012083021122	-7.735807101137455	0.0012049818836672443
1.42	-7.879614744759461	-7.878184911423315	0.0014298333361466575	-7.75382504966378	-7.753212004955276	0.0006130447085039847	-7.73813023858461	-7.7369283818431	0.0012018567415097436
1.432	-7.880213855013157	-7.878797093849524	0.0014167611636324295	-7.754973830034892	-7.75435614283895	0.0006176871959420183	-7.739194563085583	-7.7379958373024165	0.0011987257831664877
1.444	-7.880743090863391	-7.879339175936185	0.0014039149272067064	-7.756073466356759	-7.755451891348061	0.0006215750086981942	-7.740207024421035	-7.739011460813435	0.0011955636075997589
1.456	-7.881205028682771	-7.8798137477540875	0.0013912809286837913	-7.757125860080574	-7.756500167883827	0.0006256921967473517	-7.741169510224768	-7.739977122077191	0.0011923881475777165
1.468	-7.881602154505245	-7.880223308165903	0.0013788463393415995	-7.75813283719657	-7.7575030368120155	0.00062980038455418	-7.742083831912764	-7.740894721379961	0.001189110532802573
1.48	-7.881936867977542	-7.88057026886652	0.0013665991110221043	-7.759096151982138	-7.758462561303813	0.0006335906783254686	-7.742951728489448	-7.741765958232089	0.0011857702573587758
1.492	-7.882211486092148	-7.880856957878161	0.0013545282139864057	-7.760017490527689	-7.759380151681561	0.0006373388461282659	-7.743774870129348	-7.7425924971143045	0.0011823730150437584
1.504	-7.882428246714903	-7.881085623521988	0.0013426231929143384	-7.760898474053103	-7.760257538610082	0.0006409354430205738	-7.744554861546159	-7.743376007085259	0.0011788544608997142
1.516	-7.882589311920977	-7.881258437515651	0.001330874405326199	-7.761740662027767	-7.761096292553903	0.0006443694738642591	-7.745293245162465	-7.744117999205005	0.0011752459574596585
1.528	-7.882696771150912	-7.881377498231985	0.0013192729189270835	-7.762545555105816	-7.761897882120049	0.000647672985766512	-7.745991504091459	-7.744819975954803	0.0011715281366564412
1.54	-7.882752644198627	-7.881444833721272	0.0013078104773551757	-7.763314597887803	-7.762663742783639	0.0006508551041637389	-7.746651064941949	-7.745483370267253	0.001167694674695241
1.552	-7.8827588840421114	-7.881462404576155	0.0012964794659566792	-7.764049181519585	-7.763395335711567	0.0006538458080180831	-7.7472733004571435	-7.7461095313568915	0.0011637691002519546
1.564	-7.882717379527111	-7.881432106423817	0.0012852731032939602	-7.764750646138197	-7.764093971086685	0.0006566750515126785	-7.747859531997405	-7.746699873848121	0.001159658149283871
1.576	-7.882629957913316	-7.8813557734021735	0.0012741845111428063	-7.765420283174279	-7.764760995652451	0.0006592875218283112	-7.748411031876238	-7.747255585378399	0.001155446497838497
1.588	-7.882498387292045	-7.881235179267637	0.0012632080244072696	-7.766059337520255	-7.765397550768317	0.0006617867519373988	-7.748929025558637	-7.747777916056995	0.0011511095016425443
1.6	-7.882324378883365	-7.881072040617414	0.0012523382659512805	-7.7666690095717685	-7.766004853145235	0.000664156426533502	-7.749414693730036	-7.748268068970389	0.001146624759646997
1.612	-7.8821095892209545	-7.880868018882685	0.0012415703382693266	-7.76725045715121	-7.76658419473551	0.0006662624156996699	-7.7498691742438695	-7.748727163495067	0.001142010748802491
1.624	-7.881855622231457	-7.880624722437567	0.001230899793890572	-7.767804797319966	-7.767136549912673	0.0006682474072929878	-7.750293563955253	-7.749156295584179	0.00113726837107464
1.6360000000000001	-7.881564031215109	-7.880343708608956	0.0012203226061524575	-7.768333108086751	-7.767663045428118	0.0006700626586333414	-7.750688920447826	-7.749556543066623	0.0011323773812028648
1.6480000000000001	-7.8812363207338505	-7.880026485592613	0.001209835141237292	-7.768836430017953	-7.768164716177009	0.0006717138409442214	-7.751056263660177	-7.7499288835564215	0.001127380103755904
1.6600000000000001	-7.880873948412765	-7.879674514281439	0.0011994341313252832	-7.769315767756858	-7.768642566780825	0.0006732009760330726	-7.751396577418404	-7.750274279451924	0.0011222979664804456
1.6720000000000002	-7.880478326659831	-7.879289210011163	0.0011891166486677207	-7.769772091456653	-7.769097566024851	0.0006745254318012428	-7.751710810880392	-7.750593884048179	0.0011169268322133163
1.6840000000000002	-7.8800508243094205	-7.878871944228995	0.0011788800804257704	-7.770206338133046	-7.769530529396849	0.0006758087361973253	-7.751999879897524	-7.7508883622607625	0.0011115176367617607
1.6960000000000002	-7.879592768193698	-7.878424046089122	0.00116872210457597	-7.770619412941269	-7.769942717434548	0.0006766955067210034	-7.752264668298972	-7.751158683777318	0.0011059845216543351
