bondlength	fci0	energy0	error0	fci1	energy1	error1
1.0699999999999998	-455.0819780611209	-455.08187054099324	0.00010752012764214669	-454.41182495069523	-454.41179379673173	3.115396350494848e-05
1.1	-455.10094568978815	-455.10081342414543	0.00013226564271917596	-454.4620987427294	-454.4619387563843	0.00015998634506786402
1.13	-455.1163680880989	-455.1162282018684	0.00013988623049954185	-454.5080600654391	-454.50803560340495	2.4462034161842894e-05
1.16	-455.12869808300627	-455.128483009845	0.00021507316125735088	-454.5501037811731	-454.5500071853304	9.659584270593768e-05
1.19	-455.1383347517215	-455.1381704768311	0.00016427489043735477	-454.58858507631044	-454.5883738093545	0.00021126695594375633
1.22	-455.1456297637314	-455.14528353537224	0.0003462283591488813	-454.62382357685044	-454.6237950721692	2.85046812678047e-05
1.25	-455.1508929886625	-455.15032207193843	0.0005709167240866009	-454.65610715474673	-454.65603335317627	7.380157046554814e-05
1.28	-455.1543974542101	-455.1542071651483	0.0001902890617770936	-454.6856953886559	-454.6856771790782	1.8209577717698266e-05
1.31	-455.15638372913315	-455.1401069585577	0.016276770575473165	-454.71282267063754	-454.7126564442255	0.00016622641203412059
1.3399999999999999	-455.1570637972494	-455.15674837141603	0.00031542583337795804	-454.7377009697123	-454.7376813852404	1.958447188599166e-05
1.37	-455.15662448028263	-455.15625553898036	0.0003689413022698318	-454.76052227507864	-454.7604820416362	4.0233442462067615e-05
1.4	-455.15523046042546	-455.1546167611118	0.0006136993136465207	-454.7814607478454	-454.7797852070963	0.0016755407490904872
1.43	-455.1530269474985	-455.15260227033195	0.00042467716656346965	-454.80067461222717	-454.8004748049639	0.0001998072632432013
1.46	-455.150142030473	-455.14965358584044	0.0004884446325377212	-454.81830781672375	-454.8182846259476	2.319077611900866e-05
1.49	-455.14668874861076	-455.1464263867024	0.00026236190836925743	-454.834491493954	-454.83447623173805	1.5262215924849443e-05
1.52	-455.14276691343457	-455.1425815315303	0.00018538190425942958	-454.84934524530144	-454.8491528757084	0.00019236959303725598
1.55	-455.1384647091002	-455.138293692277	0.00017101682323072964	-454.86297827372476	-454.86293297073684	4.5302987928153016e-05
1.58	-455.13386009542546	-455.13351115637516	0.0003489390502977585	-454.87549038535917	-454.87553975454	4.936918082876218e-05
1.6099999999999999	-455.1290220348851	-455.12889626739087	0.00012576749423942601	-454.8869728778499	-454.88694601415165	2.6863698280976678e-05
1.64	-455.1240115622975	-455.12375360713463	0.00025795516285143094	-454.8975093309588	-454.89751939666724	1.0065708409001672e-05
1.67	-455.1188827137236	-455.1187205677652	0.00016214595842711788	-454.9071763127173	-454.90694241689226	0.00023389582503341444
1.7	-455.11368332930056	-455.1133922923953	0.00029103690525289494	-454.916044012423	-454.9160031966472	4.081577583292528e-05
1.73	-455.10845574329085	-455.10838183196023	7.391133061673827e-05	-454.9241768099834	-454.92416767078197	9.139201438301825e-06
1.76	-455.1032373735504	-454.9315885677017	0.1716488058487471	-454.93163378958144	-455.10304377370375	0.17140998412230601
1.79	-455.0980612218197	-455.09790685654735	0.0001543652723512423	-454.9384692043111	-454.938524662718	5.545840690501791e-05
1.8199999999999998	-455.0929562956984	-455.09247222625163	0.0004840694467702633	-454.94473289731945	-454.9445911961668	0.00014170115264278138
1.8499999999999999	-455.08794796277357	-455.0879046662991	4.3296474473208946e-05	-454.9504706840835	-454.9504399382807	3.0745802803267e-05
1.88	-455.08305824708486	-455.0828235509662	0.00023469611863902173	-454.9557246997251	-454.95559990215634	0.0001247975687874714
1.91	-455.07830607783774	-455.07818466253104	0.00012141530669396161	-454.9605337146771	-454.96052394784067	9.766836456037709e-06
1.94	-455.07370749994743	-455.0731329325777	0.0005745673697106213	-454.9649334215799	-454.9648198911895	0.00011353039036521295
1.97	-455.0692758555646	-455.0691769554191	9.890014553093351e-05	-454.96895669593385	-454.9689250848787	3.161105513527218e-05
2.0	-455.065021945117	-455.06057034986327	0.004451595253726737	-454.97263383277937	-454.97262807165293	5.761126431025332e-06
