bondlength	fci0	energy0	error0	fci1	energy1	error1
1.9	-14.642152467984797	-14.64177260556394	0.00037986242085708	-14.569159813865069	-14.568580982865344	0.0005788309997249996
1.8699999999999999	-14.645384662005634	-14.644978690804981	0.0004059712006529992	-14.568935840376623	-14.56834581504451	0.0005900253321122761
1.8399999999999999	-14.648632281633905	-14.648218877155982	0.0004134044779231516	-14.568628769874211	-14.56802876741369	0.0006000024605210541
1.8099999999999998	-14.651882472010119	-14.651485091688603	0.00039738032151603875	-14.568226032006278	-14.56761615629872	0.0006098757075569949
1.7799999999999998	-14.655120803346934	-14.654746950498632	0.00037385284830193655	-14.567713805373021	-14.567081003161562	0.0006328022114594489
1.75	-14.658331132631268	-14.657921630421868	0.000409502209400614	-14.56707693619136	-14.566445986526983	0.000630949664376601
1.72	-14.66149545393997	-14.661054831896248	0.0004406220437225272	-14.566298850365772	-14.565655846856547	0.0006430035092250819
1.69	-14.664593735604468	-14.664143306795303	0.00045042880916490446	-14.565361457205462	-14.56470350256824	0.0006579546372229572
1.66	-14.667603742055231	-14.667206863009817	0.0003968790454145221	-14.564245042645926	-14.563581244694248	0.0006637979516774806
1.63	-14.670500837749266	-14.670142837153046	0.0003580005962202648	-14.562928149406837	-14.562252563078742	0.0006755863280947239
1.5999999999999999	-14.673257770136653	-14.672901196257344	0.00035657387930854156	-14.561387441049362	-14.560700732550057	0.0006867084993054107
1.5699999999999998	-14.675844428164554	-14.675491938452115	0.00035248971243895255	-14.559597546394764	-14.558899765646975	0.000697780747788812
1.54	-14.67822757235642	-14.67786636409329	0.00036120826312924237	-14.557530880249262	-14.556761652234686	0.0007692280145761288
1.5099999999999998	-14.680370532036765	-14.679950802428353	0.00041972960841185625	-14.555157435857328	-14.554438130851807	0.0007193050055214201
1.48	-14.682232864800927	-14.6818474553623	0.00038540943862663823	-14.552444543994266	-14.551321226658615	0.001123317335650853
1.45	-14.683769972836958	-14.683396273555648	0.0003736992813099249	-14.549356593112963	-14.548616777838317	0.0007398152746453945
1.42	-14.684932670159998	-14.684554136822909	0.0003785333370895927	-14.545854704460453	-14.545105927089786	0.0007487773706671419
1.39	-14.685666694174376	-14.685333626236712	0.0003330679376638557	-14.541896355545948	-14.541138308956933	0.0007580465890146826
1.3599999999999999	-14.685912154142288	-14.685544266107328	0.00036788803496001776	-14.537434944680376	-14.536669324107844	0.0007656205725314891
1.33	-14.685602907994584	-14.68524570181816	0.00035720617642454044	-14.532419288391155	-14.531647314828666	0.0007719735624895918
1.2999999999999998	-14.684665857301288	-14.684289743134936	0.0003761141663520817	-14.526793042143277	-14.526016150449806	0.0007768916934711712
1.27	-14.68302014791229	-14.682683226068457	0.00033692184383227186	-14.520494032702695	-14.519713368005176	0.000780664697519029
1.24	-14.680576260527353	-14.680268007593192	0.0003082529341611462	-14.513453487329986	-14.512670356880863	0.0007831304491237034
1.21	-14.677234970963497	-14.676908040989998	0.00032692997349847985	-14.505595140406605	-14.504811359419119	0.0007837809874864377
1.18	-14.67288615383739	-14.672585642954843	0.00030051088254623437	-14.496834191658547	-14.496051949637451	0.0007822420210956693
1.15	-14.667407395441378	-14.667083911789744	0.00032348365163414883	-14.487076081421284	-14.486297443674898	0.0007786377463858685
1.1199999999999999	-14.660662371435398	-14.660371615492265	0.00029075594313354713	-14.476215037002268	-14.475442085703463	0.0007729512988046139
1.0899999999999999	-14.652498932249033	-14.65221266450301	0.00028626774602358296	-14.464132329737764	-14.463326599306333	0.000805730431430618
1.06	-14.642746823436429	-14.642454049196454	0.000292774239975202	-14.450694164456358	-14.449938631655925	0.0007555328004329454
1.0299999999999998	-14.631214949221757	-14.630940228707736	0.0002747205140209985	-14.435749101400873	-14.435006611737116	0.0007424896637573397
1.0	-14.617688064680708	-14.617414037463927	0.00027402721678093656	-14.4191248848326	-14.418397095321048	0.0007277895115525013
0.97	-14.601922755083919	-14.60163431621983	0.0002884388640893576	-14.400624522399525	-14.399910154369927	0.0007143680295982335
